Rank,City,State,Population,lng,lat
1,New York City, New York,8336817,40.6635,-73.9387
2,Los Angeles, California,3979576,34.0194,-118.4108
3,Chicago, Illinois,2693976,41.8376,-87.6818
4,Houston, Texas,2320268,29.7866,-95.3909
5,Phoenix, Arizona,1680992,33.5722,-112.0901
6,Philadelphia, Pennsylvania,1584064,40.0094,-75.1333
7,San Antonio, Texas,1547253,29.4724,-98.5251
8,San Diego, California,1423851,32.8153,-117.1350
9,Dallas, Texas,1343573,32.7933,-96.7665
10,San Jose, California,1021795,37.2967,-121.8189
11,Austin, Texas,978908,30.3039,-97.7544
12,Jacksonville, Florida,911507,30.3369,-81.6616
13,Fort Worth, Texas,909585,32.7815,-97.3467
14,Columbus, Ohio,898553,39.9852,-82.9848
15,Charlotte, North Carolina,885708,35.2078,-80.8310
16,San Francisco, California,881549,37.7272,-123.0322
17,Indianapolis, Indiana,876384,39.7767,-86.1459
18,Seattle, Washington,753675,47.6205,-122.3509
19,Denver, Colorado,727211,39.7619,-104.8811
20,Washington DC, District of Columbia,705749,38.9041,-77.0172
